ori | connection: 1 | time: 3.737184762954712 | roll: -2.9603061556528694 | pitch: -1.5707963267948966 | yaw: -3.0082179699237175 
acc | connection: 1 | time: 3.750826120376587 | x_acc: -420 | y_acc: 1149 | z_acc: 570 
gyr | connection: 1 | time: 3.7533788681030273 | x_gyr: -31 | y_gyr: 45 | z_gyr: 51 
ori | connection: 1 | time: 3.755910634994507 | roll: -2.9632114798049636 | pitch: -1.5707963267948966 | yaw: -3.015112658841912 
acc | connection: 1 | time: 3.755910634994507 | x_acc: -320 | y_acc: 3112 | z_acc: -451 
gyr | connection: 1 | time: 3.7569620609283447 | x_gyr: -21 | y_gyr: 150 | z_gyr: 85 
ori | connection: 1 | time: 3.759336471557617 | roll: -2.9625657276239896 | pitch: -1.5707963267948966 | yaw: -3.0093280016609976 
acc | connection: 1 | time: 3.759336471557617 | x_acc: -465 | y_acc: 788 | z_acc: 508 
gyr | connection: 1 | time: 3.7606334686279297 | x_gyr: -29 | y_gyr: 137 | z_gyr: 100 
ori | connection: 1 | time: 3.7627668380737305 | roll: -2.9693368481343554 | pitch: -1.5707963267948966 | yaw: -3.015710302814278 
acc | connection: 1 | time: 3.7627668380737305 | x_acc: -79 | y_acc: 3349 | z_acc: -227 
gyr | connection: 1 | time: 3.7637665271759033 | x_gyr: -3 | y_gyr: -54 | z_gyr: 96 
ori | connection: 1 | time: 3.7665529251098633 | roll: -2.967478481378412 | pitch: -1.5707963267948966 | yaw: -3.0121993596452157 
acc | connection: 1 | time: 3.767554998397827 | x_acc: -514 | y_acc: 673 | z_acc: 270 
gyr | connection: 1 | time: 3.7679460048675537 | x_gyr: 0 | y_gyr: -77 | z_gyr: 93 
ori | connection: 1 | time: 3.7733421325683594 | roll: -2.974879213207365 | pitch: -1.5707963267948966 | yaw: -3.016622509199486 
acc | connection: 1 | time: 3.7746026515960693 | x_acc: -37 | y_acc: 3378 | z_acc: -12 
gyr | connection: 1 | time: 3.7759177684783936 | x_gyr: 1 | y_gyr: -55 | z_gyr: 83 
ori | connection: 1 | time: 3.778903007507324 | roll: -2.971861331770414 | pitch: -1.5707963267948966 | yaw: -3.0141174138650926 
acc | connection: 1 | time: 3.780306100845337 | x_acc: -528 | y_acc: 693 | z_acc: 158 
gyr | connection: 1 | time: 3.780306100845337 | x_gyr: 12 | y_gyr: 36 | z_gyr: 65 
ori | connection: 1 | time: 3.788515329360962 | roll: -2.979266890479757 | pitch: -1.5707963267948966 | yaw: -3.016821315846239 
acc | connection: 1 | time: 3.789519786834717 | x_acc: 69 | y_acc: 3303 | z_acc: 167 
gyr | connection: 1 | time: 3.790515899658203 | x_gyr: 2 | y_gyr: -33 | z_gyr: 26 
ori | connection: 1 | time: 3.794515371322632 | roll: -2.9749322031942653 | pitch: -1.5707963267948966 | yaw: -3.0155161813345335 
acc | connection: 1 | time: 3.795518398284912 | x_acc: -550 | y_acc: 753 | z_acc: -17 
gyr | connection: 1 | time: 3.796405792236328 | x_gyr: 4 | y_gyr: 14 | z_gyr: 20 
ori | connection: 1 | time: 3.80435848236084 | roll: -2.9801764852758468 | pitch: -1.5707963267948966 | yaw: -3.0165418492221847 
acc | connection: 1 | time: 3.8053627014160156 | x_acc: -28 | y_acc: 3220 | z_acc: 218 
gyr | connection: 1 | time: 3.8061978816986084 | x_gyr: -18 | y_gyr: 55 | z_gyr: -20 
ori | connection: 1 | time: 3.815007448196411 | roll: -2.9753708488813495 | pitch: -1.5707963267948966 | yaw: -3.0156790176610913 
acc | connection: 1 | time: 3.816009521484375 | x_acc: -515 | y_acc: 785 | z_acc: -76 
gyr | connection: 1 | time: 3.816509962081909 | x_gyr: 7 | y_gyr: 120 | z_gyr: -12 
ori | connection: 1 | time: 3.829214334487915 | roll: -2.981210013564997 | pitch: -1.5707963267948966 | yaw: -3.0168589410819693 
acc | connection: 1 | time: 3.830217123031616 | x_acc: 74 | y_acc: 3192 | z_acc: 247 
